title,artist,genre,lyricist,music,key,beat,lyrics,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Snehaye Nagarayai |  ස්නේහයේ නගරයයි,Amarasiri Peiris,Duets,Hemasiri Gunathunga,Rohana Weerasingha,F minor,3/4,"ස්නේහයේ නගරයයි සිත මගේ  
මාවතක් හෝ නොවූ රාගයේ 
වන්දනාවේ ගිහින් එන්න ආසයි මටත්  
කොයි ඉසව්වේද ඒ මෙත්පුරේ  
යෞවනේ නිල් නුවන් සේ රැඳී   
රන් මලක් වේද හද සල් වනේ 
නෙත් පහන් දල්වලා සිත් සඳුන් දුම් දවා  
රන් සිනා පාමි පූජාසනේ 
මේ නවාතැන් ගෙවා ආත්මයේ  
යන තුරා මිලින වී මතු දිනේ 
සෙනෙහසේ සිහිලඹින් දොවන සේ යදිමි මා  
පූජනීයයි උතුම් ආදරේ",ස්නේහයේ නගරයයි,සිතේ වූ සෙනෙහස් හැඟුම්,⁣ස්නේහයේ නගරය,ආදරවන්ත සිත
Me Mal Yaye |  මේ මල් යායේ,Edward Jayakody,Old Pops,Hemasiri Halpita,Sunil Dharmasena,A minor,,"මේ මල් යායේ මා හා එක්වීලා ඈ පෑ සිනා ලංවෙලා 
රෑ තරු වාගේ නිවුණා මැලවීලා මා දෑසේ දී වේදනා  
මා දෑතේ වේලිලා එදා… රෑ සීතේ සඳපානේ පියනැගුවා 
ඒ ඡායා සිහිනේ යාවී….  ඈ මාගේ නෙතු දැලේ දුක සැදුවා 
සෝ ගීතේ සවනේ යාවී… මා ලෝකේ තනිවූ සේ මට හැඟුනා 
ඈ මා හා පෙරදා මැවූ…. ඒ මායා මීදුම් සේ දුර ඇදුනා",රෑ තරු වාගේ නිවුණා මැලවීලා මා දෑසේ දී වේදනා,රෑ අහසේ තරු මෙන් මගේ වේදනා නැතිවී ගියා,රෑ තරු,ඇයගේ පැමිනීම
Katu Akule |  කටු අකුලේ,Edward Jayakody,Classics,B Nanayakkarawasam,Ananda Gamage,D major,,"කටු අකුලේ මල් ඇහැරේ  රළු අහසේ තරු හිනැහේ 
රළු අහසේ තරු හිනැහේ කටු අකුලේ මල් ඇහැරේ  
තුඩින් තුඩේ රැව් නැගේ කුරුළු ගී ගායනා 
කුළින් කුළේ වැතිරෙතේ සුදු වළා පාවෙනා 
ළමයින් සුවඳයි කඳුළක දිලිසෙයි 
අඳුරු විමානේ රන්මිණි පහනයි 
අනාථ දෑසේ කෙම්බිම ඔබමයි 
මිලාන ලෝකේ හසරැලි උයනයි",අඳුරු විමානේ රන්මිණි පහනයි,ජීවිතයේ අඳුර නැති කර⁣න්නේ ළමයින්,රන්මිනි පහණ,ළමයින්
Gan Iwure |  ගං ඉවුරේ,Edward Jayakody,Old Pops,Kusum Pieris,Rohana Weerasingha,G minor,,"ගං ඉවුරේ තුරු ලතා මඬුල්ලේ  
සයුරු මායිමේ පුළින තලාවේ  
සෙනෙහස් හැඟුමින් චමත්කාර වී  
අප ගැන අප හිතු හැටි මිහිරියි    
ආදර ගී විය ජයමංගල ගී  
කුරුළු කැදැල්ලකි පුංචි පැලේ  
ප්‍රේමවන්තයෝ... 
ප්‍රේමවන්තයෝ දෙගුරුන් වී 
යළි ඉපදුණු හැටි හරිම අගේ 
සිඟිති සණ්ඩු මැද හිනා වෙවී  
කිරුළු පළන් ජීවිත ගමනේ  
දෝර ගලා... 
දෝර ගලා කරදර ආවත්  
හිඳිමු එදා මෙන් වෙනස් නොවී",කුරුළු කැදැල්ලකි,අපගේ නිවස,කුරුලු කැදැල්ල,නිවස
Karadiya Gambare |  කරදිය ගැඹරේ,Edward Jayakody,Classics,P. Jayawardhana,Rohana Weerasingha,G minor,,"කරදිය ගැඹරේ තුන්යම ගෙවුනේ 
නුඹගේ දෑතට දිරිය වඩන්නයි 
සුහුඹුල් අත්පා යදඬු කරන්නයි 
කිරිකැටි පුතුනේ...කිරිකැටි පුතුනේ...   
අව්වට වැගිරෙන දාදිය වැස්සේ 
කළුගල් තලලා මහමං තැනුවේ 
නිවහල් ලොවකට නුඹට වඩින්නයි 
කිරිකැටි පුතුනේ...කිරිකැටි පුතුනේ... 
දුම් රොටු අතරේ කම්මල් ඇතුළේ 
දැ‍තිරෝදෙට ගත ජීවය දුන්නේ 
නව මිනිසෙකු නව ලොවට පුදන්නයි 
කිරිකැටි පුතුනේ...කිරිකැටි පුතුනේ...",තුන්යම ගෙවුනේ,දවස ගතකලේ,තුන්යම,දවස
Oba Apple Malak |  ඔබ ඇපල් මලක්,Amarasiri Peiris,New Pop,Kalum Shreemal,Sangeeth Wickramasingha,C major,,"ඔබ ඇපල් මලක් වාගේ ලස්සන වසන්ත කාලේ  
මට හදිස්සියෙන් වාගේ හමුවූ  
පායන්න දෑස මානේ උණුහුමට ගින්දරී  
ගෙනියන්න මාගෙ ගානේ මේ හිතම සුන්දරී 
දිගු දෑසේ බැල්ම ඔබගේ  
ඇයි සොදුරු ඔය හැටී 
ඔබ ඇපල් මලක් වාගේ ලස්සන වසන්ත කාලේ  
මට හදිස්සියෙන් වාගේ හමුවූ  
ඇස් පියෙන් අදී කෑලි කැපෙන රළු රාත්‍රියේ  
කීරි ‍ගැහෙන සිත අනුහස අයදී ප්‍රේම‍යේ 
එය පමණක් ශේෂය වී නම් පුර්වාත්මයේ 
ඔබ ගැවසෙන මා සිත අවිනීතයි  
අවනත නැති නෙතටද අවිවේකයි 
හුදකලාව අවනඩුවක් ගෑණු ළමයෝ 
ඉටි රූපෙ අපූරුව විදින්න මං හරි ආසයි  
පින්තූරේ වගේ ඔබ හිනැහෙන කොට මට ලෝබයි 
අහිතක් හිතන්නෙ නැති නම් මං හරි ආදරෙයි 
ඔබ ගැවසෙන මා සිත අවිනීතයි  
ඊයේ අද මෙන් හෙටත් එහෙම වෙයි 
හුදකලාව අවනඩුවක් ගෑණු ළමයෝ",ඔබ ඇපල් මලක් වාගේ ලස්සන වසන්ත කාලේ,ඇයගේ ලස්සන,වසන්ත කාලයේ පිපුණු ඇපල් මලේ අලංකාරය,ඇයගේ අලංකාරය
Malak Wune |  මලක් උනේ,Amarasiri Peiris,Classics,Saman Athawudahetti,Kalani Perera,A major,3/4,"මලක් උනේ ඇයි ඔබ මට  
ජී...විතයට සුවඳ සලන 
එනමුදු සිප ගන්නට තහනම් 
විලක් උනේ ඇයි ඔබ මට  
ජී..විතයට සිසිල ඉසින  
දිය දෝතක් බොන්නට තහනම්      
පහන් තාරකාවක් සේ ජීවිතයට මග කීවද 
ඒ එළියෙන් මහද පහන් දල්වනු කෙලෙසින් 
සහන් ගීතිකාවක් සේ ජීවිතයේ ගිම් නිවුවද 
ඒ ගීයේ සොඳුරු වදන් මුමුණනු කෙලෙසින්",මලක් උනේ ඇයි ඔබ මට,ජීවිතයටම ආලෝකයක් ගෙන දුන්,මල,ආලෝකය
Landune |  ළඳුනේ,Amarasiri Peiris,Classics,Ranbanda Senevirathna,Premasiri Khemadasa,Eb minor,4/4,"ළඳුනේ... ළඳුනේ…  
ඔබේ දෑස දැකගත්තෙමි  
සැඳෑ කලෙක ළඳුනේ  ළඳුනේ 
දෙනෝ දහක් අත ගත්තද  
සැමියෙකු නැති ළඳුනේ  
නෑයෙක් නෑකම නොකියන  
වීදි සරණ ළඳුනේ     
තෙල් මල් ගෙන දෝත පුරා 
මුනිකුටියට පියමං වන 
ඔබේ දෑස දැක ගත්තෙමි  
සැඳෑ කලෙක ළඳුනේ  ළඳුනේ  
බුදුන් දැක නිවන් දකිමැයි  
දෙව්රම යන පාර අහන 
ඔබ ද පටාචාරාවකී  
ඔබ ද කිසාගෝතමියකි 
පිරිමින්ගෙ පාප කඳට දෝස විඳින ළඳුනේ 
අඳුරේ පව් කරන දනා එළියෙ රවන ළඳුනේ 
ළැම පමණක් ලොවට පෙනෙන  
ළය නොපෙනෙන ළඳුනේ 
කුහුඹුවකුට වරදක් නැති  වැරදිකාර ළඳුනේ",දෙනෝ දහක් අත ගත්තද,ගණිකාවක් වූ ළඳුනේ,දෙනෝදාහක් අත ගැනීම,ගණිකාව
Mage Punchi Rosa Male |  මගේ පුංචි රෝස මලේ,Amarasiri Peiris,Classics,Dhammika Bandara,Danister Perea,D minor,3/4,"මගේ පුංචි රෝස මලේ  
මමයි නුඹේ වියපත් බඹරා 
නුඹ හීනෙන්වත් නොදකින කුමරා 
නුඹ හීනෙන්වත් නොදකින කුමරා      
කලුවර රෑ හඳක්‌ වගේ  
අහසේ…… නුඹ ඉන්නව නම් 
ආසයි මම නොකී කවිය නුඹට කියන්න  
තරහක්‌ නෑ නුඹ බැස යන්න  
මගේ පුංචි නවාතැනේ  
ඇවිදින් සැරි සරනව නම් 
ආසයි මං කවුළු පියන් ඇරලා තියන්න  
තරහක්‌ නෑ නෑවිත් ඉන්න",මගේ පුංචි රෝස මලේ,මගේ පුංචි ආදරවන්තියේ,රෝස මල,ආදරවන්තිය
Iri Thelunu Wala |  ඉරි තැළුනු වලා,Amarasiri Peiris,New Pop,Saman Athawudahetti,Tissasiri Perera,D minor,4/4,"ඉරි  තැළුනු වලා උඩු වියන් යටින්  
මුදු තාර ඇතිරිල්ලේ 
යමු යමු යමු අපි ඇවිද යමු ප්‍රේමියේ              
සිව් දෙසින් හඹා එන මොටෝ රථ රඟ  
සෙනඟ රවටමින්  
වටපිටේ සීරුවට විදුලි ඇස් සිනාසේවී 
නොරැවටී යන්න යමු  
කහ ඉරෙන් එතර වීලා  
රිය පෙලේ කිරුළු හිමි රජවරුන් අත වනාවී 
බිම බලන් යන්න යමූ  
කහ ඉරත් රැළි වැටීලා",විදුලි ඇස්,වාහනවල හෙඩ් ලයිට්,විදුලි ඇස්,හෙඩ් ලයිට්
Kala Wewa Hindenawa |  කලා වැව හිඳෙනවා,Amarasiri Peiris,New Pop,Shantha Jayalath Thisera,Unknown,E minor,4/4,"කලා වැව හිඳෙනවා ආයෙමත් පිරෙනවා 
මගේ හිත බිඳෙනවා ආයෙමත් හැදෙනවා    
හිඳුනු වැව් පතුලේ කටු කොහොලු පෙනෙනවා 
රිදුනු හිත් මඬලේ සෝ සුසුම් දැවෙනවා  
පිරුනු වැව් ජලයේ සුදු නෙළුම් සරනවා 
හැදුනු හිත් මඬලේ පෙම් සුවද දැනෙනවා",හිඳුනු වැව් පතුලේ කටු කොහොලු පෙනෙනවා,ආදරය නැති වූ කල ඇතිවන දුක් ගැන අවබෝධ වීම,හිඳුනු වැව,නැති වූ ආදරය
Kawuruwath Nehe |  කවුරුවත් නැහැ,Amarasiri Peiris,Classics,Hemasiri Gunathunga,Premasiri Khemadasa,C minor,4/4,"කවුරුවත් නැහැ කවුරුවත් නැහැ  
එගොඩට යන්නට එ‍ගොඩට යන්නට
ඉරගල වැටිලා ඉවුර දෙපැත්තේ  
අඳුර ගලනවා පාරුව ඇතුලට  
ලංතෑරුම කෝ ඔහෙ තිබුනාවේ  
කවුරුවත් නැ කවුරුවත් නැ    
දවසින් දවසම පාලම හැදුනා  
පාලම් මොලෙන් හෙන හඩ ඇසුනා 
කිරන කැලෑවේ කුරුළු කොබෙයියන්  
ගම හැරදා යන්න ගිහින් 
කවුරුවත් නැහැ කවුරුවත් නැහැ  
එගොඩට යන්නට එ‍ගොඩට යන්නට  
දෑතේ අතැගිලි හබලට ගෙවුනා  
ගෙනියන්නට බැරි මහ බර තිබුනා 
මෙතුවක් නොම ගිය බර අද දවසේ  
මට හිනැහීගෙන යනවා රහසේ",ඉරගල වැටිලා,අඳුර වැටිලා,ඉරගල,අඳුර
Iki Gasa Handana |  ඉකි ගසා හඩන,Amarasiri Peiris,Classics,Amila Thenuwara,Darshana Ruwan,A minor,4/5,"ඉකි ගසා හඩන අතීතයක  
කදුළු එක්ක ගණුදෙනු කරනා                    
මට මගේ නොවන  මගේම ආදරයක් තිබුනා 
මගේම ආදරයක් තිබුනා  
හීනෙන් හිනැහී තුන් යම මා රවටා  
මැදියම් මහ රෑ අදටත් හිත ඉගිලෙනවා 
නින්දෙන් ඇහැරී කළුවරේම යලි සොයනා  
මට මගේ නොවන 
මගේම ආදරයක් තිබුණා  
රිදුමක් වගේ කිසිදා සුව නොවනා  
සුසුමින් විතරක් නිරතුරුවම පිරිමදිනා 
උහුලනු බැරි තැන උණු කදුළුම වගුරුවනා 
මට මගේ නොවන 
මගේම ආදරයක් තිබුණා",මට මගේ නොවන  මගේම ආදරයක් තිබුනා,ඒකපාක්ෂික ආදරයක් තිබුනා,මගේ නොවන ⁣මගේම,ඒකපාක්ෂික
Hanthaneta Paayana |  හන්තානට පායන සඳ,Amarasiri Peiris,New Pop,Dhammika Bandara,Danister Perea,C major,3/4,"හන්තානට පායන සඳ  
ලස්සනයිද කියන්න                    
මා නොදකින ඒ පුර හඳ  
ඔබට හැකිය දකින්න  
අඳුරු ලලා වහිනා කල 
සරසවි බිම තෙමෙන්න  
කුඩේ යටින් ඔබ යන කල  
එපා තනිය දැනෙන්න 
ලතා මඩුළු අත වනාවි  
එපා අහක බලන්න 
මා ගැන මතකය ගුලිකර  
මහවැලියට දමන්න","කුඩේ යටින් ඔබ යන කල  
එපා තනිය දැනෙන්න",ඇයට කවුරුන් හෝ හමුවේවායි පැතීම,එපා තනිය දැනෙන්න,කා හෝ හමු වේවා යන පැතුම
Aya Yanna Giya |  ඇය යන්න ගියා,Amarasiri Peiris,Classics,Sunil Sarath Perera,H.M.Jayawardhana,F minor,4/4,"ඇය යන්න ගියා මැකිලා  
වන සිරසක තුරු සෙවනැලි අතරේ  
ගී ගයමින් හිඳ මා තුරුලේ   
ඇය යන්න ගියා මැකිලා 
ඇය යන්න ගියා මැකිලා   
පිණි කඳුලක් මල් පෙති අග තවරා  
මිහිදුම් සළුවෙන් මුහුණ වසා 
නිල්ල නිලන නිල් කඳු වැටි අතරේ  
සඳ එළියේ මං පෙත පාදා 
රහසක් සඟවා ගොළු වූ හදකින්  
යන්න ගියා මැකිලා 
යළි කවදාවත් හමු නොවෙනා බව  
මද පවනක් හිස අතගා කීවද 
අදහා ගන්නට නොහැකිය කිසි දින  
ඇය යළි නොඑතැයි ගිම්හානෙට පෙර",ඇය යන්න ගියා මැකිලා ,ඇය තමාගේ ජීවිතයෙන් ඉවත්ව යාම,මැකිලා,ඉවත්ව යාම
Atha Epita | ඈත එපිට,Sanath Nandasiri,Classics,Sunil Sarath Perera,Sanath Nandasiri,C minor,4/4,"ඈත එපිට ගම්මානෙන් නැග එන  
බටලී හඬ අතරේ  
ඉතාම දුක්බර කවියක් මතුවෙද  
ඇය නිදි නොමැති පැලේ  
මලානිකව හඳ එලිය ගලා එන  
අම්බලමක හෙව‍ණේ  
බලා හිඳිමි ඔබ හිඳින විමන් දොර  
දැල්වෙන එළිය බඳේ 
වේදනාව නෙතු අගට ගලාලා  
ඉකිලන නිහඬ රැයේ  
නීල නුවන් තරු කැට බොඳ වෙනවා  
කාටත් හොර රහසේ",ඇය නිදි නොමැති පැලේ,ඇය ඔහුව හැරදා ගොසින්,නිදි නොමැති පැල,ඇය නැති පැල
Akuru Maki Nehe |  අකුරු මැකී නෑ,Edward Jayakody,Classics,Kumaradasa Saputhanthri,Rohana Weerasingha,Eb major,,"අකුරු මැකී නෑ කොළ ගැලවී නෑ  
බොඳ වී නෑ සිතුවම් 
ඉස්සර වාගේ තාමත් මතකයි 
හෝඩි පොතේ පාඩම්    
මේ ඊරී  බිම සීරී කුණ්ඩුමණී හිස පීරී 
දීසිය පුරවා දෝසී දමා කුමුදුමතී හිනැහේවී 
අපි දුවමු අපි පනිමු ගී කියමු අපි නටමු 
ඇත් පොරයට අපි ඇහැ යවමූ බාළ වියට පා නගමු",බාළ වියට පා නගමු,අතීතය සිහි කරගමු,බාල වියට පා තැබීම,අතීතය සිහි කිරීම
